0.000000 0.000000 0.500000
0.100000 0.000000 0.724201
0.200000 0.000000 0.884710
0.300000 0.000000 0.940018
0.400000 0.000000 0.884710
0.500000 0.000000 0.750000
0.600000 0.000000 0.590818
0.700000 0.000000 0.464490
0.800000 0.000000 0.409182
0.900000 0.000000 0.430308
1.000000 0.000000 0.500000
0.000000 0.100000 0.569692
0.000000 0.200000 0.590818
0.000000 0.300000 0.535510
0.000000 0.400000 0.409182
0.000000 0.500000 0.250000
0.000000 0.600000 0.115290
0.000000 0.700000 0.059982
0.000000 0.800000 0.115290
0.000000 0.900000 0.275799
0.000000 1.000000 0.500000
